State,poverty_perct
Alabama,17.12
Alaska,13.31
Arizona,17.13
Arkansas,17.1
California,15.52
Colorado,10.88
Connecticut,10.7
Delaware,12.68
District of Columbia,15.57
Florida,15.71
Georgia,16.93
Hawaii,11.29
Idaho,14.47
Illinois,13.12
Indiana,13.89
Iowa,12.28
Kansas,13.28
Kentucky,17.72
Louisiana,19.95
Maine,14.91
Maryland,10.1
Massachusetts,10.71
Michigan,12.89
Minnesota,10.08
Mississippi,20.95
Missouri,14.49
Montana,14.3
Nebraska,12.27
Nevada,13.86
New Hampshire,8.88
New Jersey,11.92
New Mexico,19.95
New York,13.91
North Carolina,15.09
North Dakota,12.07
Ohio,14.71
Oklahoma,16.51
Oregon,14.71
Pennsylvania,12.09
Rhode Island,12.7
South Carolina,15.51
South Dakota,14.71
Tennessee,16.52
Texas,15.51
Utah,12.06
Vermont,11.88
Virginia,13.12
Washington,12.5
West Virginia,18.72
Wisconsin,12.9
Wyoming,14.5
